id;title;price;image;image_content_type
1;mobile Fish;77969;../data/blob/hipster.png;image/png
2;Savings Account Dam;9997;../data/blob/hipster.png;image/png
3;Trace;33370;../data/blob/hipster.png;image/png
4;Metal deposit;5641;../data/blob/hipster.png;image/png
5;transmitter Implementation Electronics;99221;../data/blob/hipster.png;image/png
6;Money Market Account;61165;../data/blob/hipster.png;image/png
7;Grocery Home;52477;../data/blob/hipster.png;image/png
8;enable Gorgeous Frozen Pants;23277;../data/blob/hipster.png;image/png
9;Licensed Savings Account;38246;../data/blob/hipster.png;image/png
10;Planner Canyon;85994;../data/blob/hipster.png;image/png
